"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"S000000001","YAL001C","S. cerevisiae","TFC3","Transcription Factor class C"
"S000000003","YAL003W","S. cerevisiae","EFB1","Elongation Factor Beta"
"S000000010","YAL012W","S. cerevisiae","CYS3","CYStathionine gamma-lyase"
"S000000023","YAL025C","S. cerevisiae","MAK16","MAintenance of Killer"
"S000000030","YAL032C","S. cerevisiae","PRP45","Pre-mRNA Processing"
"S000000031","YAL033W","S. cerevisiae","POP5","Processing Of Precursor RNAs"
"S000000032","YAL034W-A","S. cerevisiae","MTW1","Mis TWelve-like"
"S000000033","YAL035W","S. cerevisiae","FUN12","Function Unknown Now"
"S000000036","YAL038W","S. cerevisiae","CDC19","Cell Division Cycle"
"S000000039","YAL041W","S. cerevisiae","CDC24","Cell Division Cycle"
"S000000041","YAL043C","S. cerevisiae","PTA1","Pre-Trna Accumulation"
"S000000065","YAR007C","S. cerevisiae","RFA1","Replication Factor A"
"S000000066","YAR008W","S. cerevisiae","SEN34","Splicing ENdonuclease"
"S000000072","YAR019C","S. cerevisiae","CDC15","Cell Division Cycle"
"S000000099","YBL003C","S. cerevisiae","HTA2","Histone h Two A"
"S000000100","YBL004W","S. cerevisiae","UTP20","U Three Protein"
"S000000110","YBL014C","S. cerevisiae","RRN6","Regulation of RNA polymerase I"
"S000000114","YBL018C","S. cerevisiae","POP8","Processing Of Precursor RNAs"
"S000000116","YBL020W","S. cerevisiae","RFT1","Requiring Fifty-Three"
"S000000119","YBL023C","S. cerevisiae","MCM2","MiniChromosome Maintenance"
"S000000122","YBL026W","S. cerevisiae","LSM2","Like SM"
"S000000126","YBL030C","S. cerevisiae","PET9","PETite"
"S000000130","YBL034C","S. cerevisiae","STU1","Suppressor of TUbulin"
"S000000131","YBL035C","S. cerevisiae","POL12","POLymerase"
"S000000136","YBL040C","S. cerevisiae","ERD2","Endoplasmic reticulum Retention Defective"
"S000000137","YBL041W","S. cerevisiae","PRE7","PRoteinase yscE"
"S000000146","YBL050W","S. cerevisiae","SEC17","SECretory"
"S000000154","YBL058W","S. cerevisiae","SHP1","Suppressor of High-copy PP1"
"S000000169","YBL073W","S. cerevisiae","",""
"S000000170","YBL074C","S. cerevisiae","AAR2","A1-Alpha2 Repression"
"S000000172","YBL076C","S. cerevisiae","ILS1","IsoLeucine-tRNA Synthetase"
"S000000173","YBL077W","S. cerevisiae","",""
"S000000180","YBL084C","S. cerevisiae","CDC27","Cell Division Cycle"
"S000000188","YBL092W","S. cerevisiae","RPL32","Ribosomal Protein of the Large subunit"
"S000000193","YBL097W","S. cerevisiae","BRN1","homolog of BaRreN"
"S000000198","YBL102W","S. cerevisiae","SFT2","Suppressor of sed Five Ts"
"S000000201","YBL105C","S. cerevisiae","PKC1","Protein Kinase C"
"S000000206","YBR002C","S. cerevisiae","RER2","Retention in the Endoplasmic Reticulum"
"S000000208","YBR004C","S. cerevisiae","GPI18","GlycosylPhosphatidylInositol"
"S000000213","YBR009C","S. cerevisiae","HHF1","Histone H Four"
"S000000215","YBR011C","S. cerevisiae","IPP1","Inorganic PyroPhosphatase"
"S000000228","YBR024W","S. cerevisiae","SCO2","Suppressor of Cytochrome Oxidase deficiency"
"S000000233","YBR029C","S. cerevisiae","CDS1","CDP-Diacylglycerol Synthase"
"S000000242","YBR038W","S. cerevisiae","CHS2","CHitin Synthase"
"S000000253","YBR049C","S. cerevisiae","REB1","RNA polymerase I Enhancer Binding protein"
"S000000259","YBR055C","S. cerevisiae","PRP6","Pre-mRNA Processing"
"S000000264","YBR060C","S. cerevisiae","ORC2","Origin Recognition Complex"
"S000000274","YBR070C","S. cerevisiae","ALG14","Asparagine Linked Glycosylation"
"S000000283","YBR079C","S. cerevisiae","RPG1",""
"S000000284","YBR080C","S. cerevisiae","SEC18","SECretory"
"S000000291","YBR087W","S. cerevisiae","RFC5","Replication Factor C"
"S000000292","YBR088C","S. cerevisiae","POL30","POLymerase"
"S000000293","YBR089W","S. cerevisiae","",""
"S000000295","YBR091C","S. cerevisiae","TIM12","Translocase of the Inner Membrane"
"S000000306","YBR102C","S. cerevisiae","EXO84","EXOcyst"
"S000000310","YBR106W","S. cerevisiae","SND3","SRP-iNDependent targeting"
"S000000313","YBR109C","S. cerevisiae","CMD1","CalMoDulin"
"S000000314","YBR110W","S. cerevisiae","ALG1","Asparagine-Linked Glycosylation"
"S000000316","YBR112C","S. cerevisiae","CYC8","CYtochrome C"
"S000000325","YBR121C","S. cerevisiae","GRS1","Glycyl-tRNA Synthase"
"S000000327","YBR123C","S. cerevisiae","TFC1","Transcription Factor class C"
"S000000328","YBR124W","S. cerevisiae","",""
"S000000339","YBR135W","S. cerevisiae","CKS1","Cdc28 Kinase Subunit"
"S000000340","YBR136W","S. cerevisiae","MEC1","Mitosis Entry Checkpoint"
"S000000344","YBR140C","S. cerevisiae","IRA1","Inhibitory Regulator of the RAS-cAMP pathway"
"S000000346","YBR142W","S. cerevisiae","MAK5","MAintenance of Killer"
"S000000347","YBR143C","S. cerevisiae","SUP45","SUPpressor"
"S000000356","YBR152W","S. cerevisiae","SPP381","Suppressor of PrP38-1"
"S000000357","YBR153W","S. cerevisiae","RIB7","RIBoflavin biosynthesis"
"S000000358","YBR154C","S. cerevisiae","RPB5","RNA Polymerase B"
"S000000359","YBR155W","S. cerevisiae","CNS1","CyclophiliN Seven suppressor"
"S000000362","YBR158W","S. cerevisiae","AMN1","Antagonist of Mitotic exit Network"
"S000000364","YBR160W","S. cerevisiae","CDC28","Cell Division Cycle"
"S000000371","YBR167C","S. cerevisiae","POP7","Processing Of Precursor RNAs"
"S000000372","YBR168W","S. cerevisiae","PEX32","PEroXisome related"
"S000000394","YBR190W","S. cerevisiae","",""
"S000000396","YBR192W","S. cerevisiae","RIM2","Replication In Mitochondria"
"S000000397","YBR193C","S. cerevisiae","MED8","MEDiator complex"
"S000000400","YBR196C","S. cerevisiae","PGI1","PhosphoGlucoIsomerase"
"S000000402","YBR198C","S. cerevisiae","TAF5","TATA binding protein-Associated Factor"
"S000000404","YBR200W","S. cerevisiae","BEM1","Bud EMergence"
"S000000406","YBR202W","S. cerevisiae","MCM7","MiniChromosome Maintenance"
"S000000415","YBR211C","S. cerevisiae","AME1","Associated with Microtubules and Essential"
"S000000438","YBR234C","S. cerevisiae","ARC40","ARp2/3 Complex subunit"
"S000000440","YBR236C","S. cerevisiae","ABD1",""
"S000000441","YBR237W","S. cerevisiae","PRP5","Pre-mRNA Processing"
"S000000447","YBR243C","S. cerevisiae","ALG7","Asparagine-Linked Glycosylation"
"S000000451","YBR247C","S. cerevisiae","ENP1","Essential Nuclear Protein"
"S000000456","YBR252W","S. cerevisiae","DUT1","DUTp pyrophosphatase"
"S000000457","YBR253W","S. cerevisiae","SRB6","Suppressor of RNA polymerase B"
"S000000458","YBR254C","S. cerevisiae","TRS20","TRapp Subunit"
"S000000460","YBR256C","S. cerevisiae","RIB5","RIBoflavin biosynthesis"
"S000000461","YBR257W","S. cerevisiae","POP4","Processing Of Precursor RNAs"
"S000000469","YBR265W","S. cerevisiae","TSC10","Temperature-sensitive Suppressors of Csg2 mutants"
"S000000510","YCL004W","S. cerevisiae","PGS1","PhosphatidylGlycerolphosphate Synthase"
"S000000522","YCL017C","S. cerevisiae","NFS1","NiFS-like"
"S000000533","YCL028W","S. cerevisiae","RNQ1","Rich in asparagine (N) and glutamine (Q)"
"S000000536","YCL031C","S. cerevisiae","RRP7","Ribosomal RNA Processing"
"S000000546","YCL041C","S. cerevisiae","",""
"S000000548","YCL043C","S. cerevisiae","PDI1","Protein Disulfide Isomerase"
"S000000557","YCL052C","S. cerevisiae","PBN1","Protease B Non-derepressible"
"S000000559","YCL054W","S. cerevisiae","SPB1","Suppressor of PaB1 mutant"
"S000000564","YCL059C","S. cerevisiae","KRR1","contains KRR-R motif"
"S000000572","YCL067C","S. cerevisiae","HMLALPHA2","Hidden Mat Left ALPHA"
"S000000605","YCR012W","S. cerevisiae","PGK1","3-PhosphoGlycerate Kinase"
"S000000606","YCR013C","S. cerevisiae","",""
"S000000631","YCR035C","S. cerevisiae","RRP43","Ribosomal RNA Processing"
"S000000635","YCR039C","S. cerevisiae","MATALPHA2","MATing type protein ALPHA"
"S000000648","YCR052W","S. cerevisiae","RSC6","Remodel the Structure of Chromatin"
"S000000650","YCR054C","S. cerevisiae","CTR86","Copper TRansport protein"
"S000000653","YCR057C","S. cerevisiae","PWP2","Periodic tryptophan (W) Protein"
"S000000668","YCR072C","S. cerevisiae","RSA4","RiboSome Assembly"
"S000000684","YCR088W","S. cerevisiae","ABP1","Actin Binding Protein"
"S000000689","YCR093W","S. cerevisiae","CDC39","Cell Division Cycle"
"S000000692","YCR096C","S. cerevisiae","HMRA2","Hidden Mat Right A"
"S000000728","YEL002C","S. cerevisiae","WBP1","Wheat germ agglutinin-Binding Protein"
"S000000745","YEL019C","S. cerevisiae","MMS21","Methyl MethaneSulfonate sensitivity"
"S000000752","YEL026W","S. cerevisiae","SNU13","Small NUclear ribonucleoprotein associated"
"S000000758","YEL032W","S. cerevisiae","MCM3","MiniChromosome Maintenance"
"S000000760","YEL034W","S. cerevisiae","HYP2","HYPusine-containing protein"
"S000000761","YEL035C","S. cerevisiae","UTR5","Unidentified TRanscript"
"S000000770","YEL044W","S. cerevisiae","IES6","Ino Eighty Subunit"
"S000000781","YEL055C","S. cerevisiae","POL5","POLymerase"
"S000000784","YEL058W","S. cerevisiae","PCM1","PhosphoaCetylglucosamine Mutase"
"S000000805","YER003C","S. cerevisiae","PMI40","PhosphoMannose Isomerase"
"S000000807","YER005W","S. cerevisiae","YND1","Yeast Nucleoside Diphosphatase"
"S000000808","YER006W","S. cerevisiae","NUG1","NUclear GTPase"
"S000000810","YER008C","S. cerevisiae","SEC3","SECretory"
"S000000811","YER009W","S. cerevisiae","NTF2","Nuclear Transport Factor"
"S000000814","YER012W","S. cerevisiae","PRE1","PRoteinase yscE"
"S000000815","YER013W","S. cerevisiae","PRP22","Pre-mRNA Processing"
"S000000818","YER016W","S. cerevisiae","BIM1","BInding to Microtubules"
"S000000820","YER018C","S. cerevisiae","SPC25","Spindle Pole Component"
"S000000823","YER021W","S. cerevisiae","RPN3","Regulatory Particle Non-ATPase"
"S000000824","YER022W","S. cerevisiae","SRB4","Suppressor of RNA polymerase B"
"S000000825","YER023W","S. cerevisiae","PRO3","PROline requiring"
"S000000827","YER025W","S. cerevisiae","GCD11","General Control Derepressed"
"S000000838","YER036C","S. cerevisiae","ARB1","ATP-binding cassette protein involved in Ribosome Biogenesis"
"S000000840","YER038C","S. cerevisiae","KRE29","Killer toxin REsistant"
"S000000845","YER043C","S. cerevisiae","SAH1","S-Adenosyl-l-Homocysteine hydrolase"
"S000000862","YER060W","S. cerevisiae","FCY21","FluoroCYtosine resistance"
"S000000872","YER070W","S. cerevisiae","RNR1","RiboNucleotide Reductase"
"S000000884","YER082C","S. cerevisiae","UTP7","U Three Protein"
"S000000895","YER093C","S. cerevisiae","TSC11","Temperature-sensitive Suppressors of Csg2 mutants"
